 title , comment , username , date  , rating 
LIES,"Nothing special here, bait you with free stays that you earn by spending all your money in the casino and then they blast you with all types of fees and taxes and valet charges. Actually had members of the staff there lie to us regarding valet charges, etc. Not any value here…",G813AMrobertg,November 2018,1.0
I've stayed at better,Was in Vegas for a conference. Have stayed in Vegas many times but never at MGM. Chose this hotel due to it having a monorail stop and a good deal I got that included buffets with my stay. I was not impressed with their customer experience. Inquired about having a fridge in room…,laurenm13,November 2018,3.0
MGM NIGHTMARE,"one they push the west wing like we know its old and nothing explains the difference in rooms, my 1950 motels 6 stained glass water damaged dirty rock shower with mold breaking off, the bed stands are plywood and much of the front paint was missing. they sort of joked about that…",Getaway193700,October 2018,2.0
Disapointed with MGM. Not the place we were used to.,"Issue #1:Booked a King, got a Double Queen. Tried to continue to explain to the front desk lady, but she could care less and simply kept saying ""sorry, we are full""Issue #2:No hot water for the entire trip! Nothing like a luke warm shower in the morning and a cold shower to…",OnAir49433250731,October 2018,2.0
Pleasure,"We got very dark room, looking on the wall, everything was smelling moldy. I really didn't expect from MGM such a bad rooms like this. Self parking is pricey, about 18$ night. Room didn't have number on it, Key lock was destroyed and everything looked very ""modern"" but very…",snikolic097,June 2018,3.0
Amazing Hotel and amazing room we had.,Excellent options for food and very close to other attractions in the city. Extremely nice staff and tons of slots and table games to play. The KA show is just amazing and definitely a show you don't want to miss. We will be back as we have been back every year since 1997.,Resort12960265828,October 2018,5.0
Great trip!!,"The MGM Grand is a great hotel! Buffet was good, the beds are really comfy, and having access to the monorail is a bonus, if you don’t want to walk the strip. The only one negative would be the helicopters are a little loud being up on a higher floor.",OnAir22753824324,November 2018,5.0
A Great Vegas Experience,"MGM offers you exactly what you could expect from a trip in Vegas: great amenities, amazing staff, wonderful restaurants, top notch nightlife (home of Hakkasan), and a vibrant crowd around all-day! And great value for the price!",Thomas E,October 2018,5.0
Great hotel and amenities!,My husband and I spent our 10th Anniversary here. This hotel was great. Everything was super clean and nice. It is conveniently located at the beginning of the monorail also. This made traveling the strip even easier. We easily made it anywhere we wanted to go. We spent allot of…,Kera,October 2018,5.0
1st timer,"I just want to start off by saying this hotel staff was extremely helpful and nice. I’ve been to Vegas a lot however I had 4 people with me that had never been. They enjoyed the places to eat there,table games and bars within the hotel. Oh and Topgolf was awesome.! I definitely…",Dallas117,November 2018,5.0
My Favorite hotel on the strip,I am in Vegas about 4 times a year on average and have stayed at a lot of different hotels. I now just stay at the MGM Grand . This is by far one of my favorite hotels. It has convenient location with a quick walk to so many other hotels from a pedestrian bridge or it is also…,ColinThornton,September 2018,5.0
"Lots to entertainement and large casino, Rooms nice but nothing special","The MGM Grand was okay having stayed at other MLife properties it did not initially seem to have anything special about it and the guest service staff were not as welcoming as at some of the other resorts. The room was nice but nothing special, the bathroom was hotel standard.…",dkmauicondo,October 2018,4.0
"Tiny Rooms; No Bathroom Privacy in Room; Rude 'Check-in"" Person","Room is tiny, like an inside cabin on a cruise ship. No separate bathroom. Toilet is behind frosted glass open to room. Same for shower. Checking in was a miserable experience as the MGM desk person was rude.",John B,November 2018,3.0
Mgm grand vegas,Great time at this hotel. Very clean servives excellent. Food fantastic would reconmend this hotel to all. Pool area and bar excellent Location very central Contribute to a great holiday Will return again Casino was buzzing 24-7 !!!!!!!!!!!!!!!!!!@@@@,Jason C,September 2018,4.0
First in Entertainment,"First time in Las Vegas and the MGM Grand was a very fun property in our opinion. We were in a terrible room the first night. I believe it was a west wing king. OMG, such a horrible room and it should be billed as 20 an hour only. We upgraded to a grand kind and this is an…",Christian K,November 2018,4.0
Nothing Really Grand about it,We stayed here for eight nights over Halloween in a grand tower room . The room was very standard and like a lot of Vegas hotels on the strip was dated / nothing special . The location we found was too far from all the action on the strip so needed to take a taxi although it was…,Barney000,October 2018,3.0
Lovely 5 day Break,"Me and my partner visited the hotel in October 18 for 5 days, upon arrival there is a but of a long queue (which i understand but isn't ideal after 10 hour flight). The staff on the check in desk that dealt with us were both very nice and accommodating, due to it being my…",abbigail c,October 2018,4.0
Wifes Birthday get away at MGM Grand.,"Great time at MGM Grand. Celebrated my wifes Birthday, catched a few shows. Awesome dining. I highly recommend the MGM Mlife Rewards program. Awesome benefits. I will be back soon. Thank You MGM for a great time!",Genaro Robles,November 2018,5.0
The Phish concert,"I went to Vegas specifically for the phish concert on Halloween. It was awesome, so many cool people, all dressed up for Halloween. I will go back next year for sure. The hotel was great, the food was great at all the restaurants, specifically some Italian place where I had a…",strider916,October 2018,4.0
"Alright for the price, but don't expect to be wowed.","Walls are paper thin. Restaurants are overpriced with not enough flavor. Attached to the monorail, so that was nice. Stores around it are worthless. Signage within the building tend not to be clear when you're trying to find where to go.",Meander53305234759,November 2018,3.0
Mini Vacation,"The room was good enough to sleep in. If you are planning on using the room for more than sleep and a shower, upgrade to a nicer room. We stayed in the west wing king rooms, but if we would’ve known, we would have got a grand room instead.",william S,November 2018,4.0
The West Wing is Terrible. A real dump.,"Dirty carpets. Mold in bathroom. Super small room with 1 tiny window. Sewer smell in our room. The Lamb s didn’t work. The toilet and shower rooms had glass doors that would not close correctly, so they banged loudly. We will never stay in the West Wing at the MGM again. Even…",suesmap,November 2018,1.0
Pretty Petty & Turn Up Getaway,Had a couple of issues but management corrected and was very sincere when correcting the problem. All in all this hotel was nice great staff and I will patronize again. All the amenities and customer service skills will make me return. My family enjoyed themselves.,Seaside232541,November 2018,4.0
MRA Pageant,"Great hotel! Anything you want and any place to shop! Excellent location, within walking distance to many other hotels/casinos. Friendly and clean atmosphere. Good odds on winning enough to play on. Would highly recommend!",tammerap,December 2017,5.0
Avoid this hotel at all cost.,"Be prepared for roadside-motel-quality rooms, no way to get service, and theme-park-style food. Please think twice about staying here unless you simply don't care about the quality of the room and you don't need any service.",Amy H,October 2018,1.0
My first time at MGM,"The room was run down. Shower leaked very bad in to the toilet area in puddles. TV only worked sometimes. Said they fixed it but, still did the same. First place I have stayed at that didn't have complementary coffee. The window was behind the bed so, it was hard to get…",Adventure56073028475,October 2018,3.0
A great place to stay for business/personal!,"Great Stay, would certainly come back again! Easily accessible to the airport, great value of food (cafeteria or high-end), awesome pool set-up, along with a concert-venue for shows! I would also recommend the Signature too. Thank you",FarAway31096324209,October 2018,5.0
Awesome Experience!!!,"This hotel is phenomenal!! From the location, to all the amenities! It's like a shopping mall inside, with bars, theaters, and so much more!! They give you tickets for the CSI experience. You have no need to sit in your room all day and night!",SkyPrincess03,October 2018,5.0
"Stort, dyrt, rent",Store rom som var rene og pene. Både rom og bad kunne gjerne fått en ansiktsløftning for å forsvare pris og konkurrere med andre hotell i Las Vegas. Virker som det investeres mer i underholdning og casinodrift enn i selve hotelldriften. Når det er sagt hadde vi et flott opphold…,Erik H,November 2018,3.0
Vegas Baby,"We stayed our entire Vegas trip in the MGM Grand hotel. The price was more than okay and the room was nice. You pretty much get what you expect. The pool area is crowded, but a nice place to hang out away from the strip. The food options are astonishing. And the shows offered…",Patrick H,June 2018,4.0
Great to be close to show at MGM Garden Arena! But a little smokey and dated for me personally.,"We stayed at MGM Grand for the 2018 Phish Halloween Run. I am a MLife member and travel to Vegas 2 times a year typically. I booked several rooms with Queen strip Views, King Strip Views, and Regular Grand Tower Queens. Staying right at the venue definitely has its advantages…",Sam C,October 2018,3.0
"Clean, Comfortable, Fun Hotel","We enjoyed our stay at MGM during the NFR 2017. There was lots to do, live stream of the rodeo and many exciting things going on. There were numerous restaurants and a food court to choose from as well as having the tram right at the hotel. That was very convenient!",Rhonda R,December 2017,5.0
"For the best, stay here!","We never stay anywhere else. You cannot beat the ambience and the wonderful staff! The slot machines are varied, they have all the latest and greatest and they aren't real tight. Well, sometimes they are such as on Saturday night. We did best in the afternoon. Many option for…",Ambassador663059,November 2018,5.0
Casino expierence,"Overall the trip was great. Friendly and knowledgeable staff. Slot machines were clean and in good working conditions, however to much smoke in the casino, there should be a smoke free section for players to enjoy while playing. I will look for a smoke free casino the next trip…",Inspire38555162238,November 2018,3.0
Excelente hotel,"Hotel muito bom, grandioso, possuiu muitos restaurantes, abriga shows como david copperfield e cirque du soleil Ká, como todos hotéis em Las Vegas o lobby e tomado pelo cassino, com cheiro de cigarro, os quartos muito bons, porém frigobar e cheio de produtos e caso retire algo…",Camila F,October 2018,4.0
2 Bedroom Marquee Suite stay,There was 4 adults on this trip so we choose to stay in the 2 bedroom marquee suite as it actually worked out the same price as getting 2 rooms. The room size was brilliant with a living and dining area and a pool table in the middle. The bedrooms were at the opposite side of…,Laura N,October 2018,4.0
Big & Expensive,"The hotel is huge, has lots of amenities and restaurants, has a good location near the first stop of the monorail and close to the airport, but is way over-priced. Three slices of French toast, a few slices of bacon and two glasses of orange juice for breakfast was $45. That's…",Dave M,October 2018,3.0
Amazing Visit- Will Be back!!,Stayed in a Grand Tower King room and it was nice and spacious. Room hallways were smoke free and housekeeping was on point. Plenty of food and activities to do inside of the hotel and so I did not even have to leave the property if I did not want to. Will definitely be staying…,nichole b,November 2018,5.0
Make sure you get a good room!,"We were in Vegas for 1 week and stayed at the MGM (i've previously stayed at other hotels on the strip). The facilities are very good and they always have great events going on, if you want events suitable for family/single/mates this has it all. My one word of caution...…",JamesJones12,August 2018,5.0
First Visit to Vegas!,"Just visited Vegas for the first time in October and had an amazing stay at MGM! Having never visited before, I wanted to make sure I had all of the must-see sights, shows and restaurants on my itinerary. Allyson at the Concierge desk was so incredibly helpful prior to our…",Ceara L,October 2018,5.0
"The Most Unique ""Lazy River"" Pool Ever Seen!","Always enjoy staying at the MGM Hotel. Totally accessible location with spacious rooms, great service and lots of shops and delicious grand buffet! A good variety of slot machines! Parking structure is huge, so plan on wearing your walking shoes! We had a great time there!",Pedro R,September 2018,5.0
Wasn't s grand!,After getting a late nite flight the check in line was very very long and slow. Got to room had no wash rags. The next day had no water trying to get ready for a wedding. Food prices in the food court were unreal. And the biggest disappointment was what they call their Grand…,punkin5orange,October 2018,3.0
"No, thank you.","No coffee pot in these expensive rooms. If you want to put something in the refrigerator, they charge $50 to open it. The music was WAY TOO LOUD everywhere and often two tracks playing at the same time. The rooms are pretty big and the staff are great when they apologize…",Cheryl R,November 2018,2.0
Over Priced Old Tired Property,"Over priced old property $8.00 for a soft drink, the cheapest coffee $5.40 per cup and smoke everywhere! Staff is pleasant enough but they do not make up for the high prices. Comp drinks while playing were non existent!",Flyer59347593908,November 2018,2.0
Had an amazing time,"Friendly and helpful staff, comfortable rooms/beds, easy access to highways (for getting off the strip from time to time), and very clean facilities all around. I would definitely stay here again in the future.",Ryan W,November 2018,5.0
Nice Getaway,"My husband and I stayed at the MGM Grand Oct. 31st - Nov. 3rd. I honestly was expecting a mediocre stay due to reading the reviews before visiting. I'm happy to say that was not the case. Upon arrival arrival 8am our room was not ready but that was to be expected, due to…",Burgundi L,October 2018,5.0
Needs Upgrading,I was not impressed at all. The room was not vacuumed upon arrival. There were beer bottle caps and potato chips on the floor. Prices are outrageous for any type of room service. A pot of coffee turns into $25. Linens smelled like pesticide.,O2852RRdeborahg,October 2018,1.0
"This is my second NEGATIVE review of this hotel in 2 years, I FORGOT IT WAS THIS BAD","MGM emailed me before my stay offering a tower suite upgrade for something like $30 extra a night. Sounds like a great deal, I got a big room with a hot tub we planned to use after the concert that night at the MGM. However, there was NOT hot water at night. The first night…",Mike H,October 2018,1.0
"GREAT PEOPLE, GOOD SERVICE, VERY POOR ROOM","Where to start, check in was awesome, got a nice kid named Nick to help us and got us into our room early. Kind of a long walk to the room, by we made due. As for the room, very dirty way too small for 2 people. Bath and shower were terrible. DO NOT stay in the West wing in the…",todski85,October 2018,2.0
Disappointed,"Not for a person on a budget. Courteous staff but everything WAY overpriced. Careful of the resort fee, they charged me 100 a day!!! My advice, stay on Fremont and visit the Strip, you’ll save money and have a MUCH BETTER experience.",Carl T,November 2018,2.0
Everything we need..,We still love it here..people seem to complain about the size of the resort but we have gotten accustomed to it and are very comfortable here..the location sets it apart from other places we have stayed..nearby restaurants entice us (especially Tom’s Urban and America) as well…,kferg9,November 2018,5.0
Not well organized and tacky room not high quality. The vanity space was sorely lacking. not enough room for toiletries,Not enough vanity space for a couple. Check in and bell staff were overwhelmed. An hour wait in the room for the bags was too much. Ended up making the long trip back to the bell stand and taking my bags to the room by myself. Big effort and waste f time.,Marc H,November 2018,2.0
Phish Tour,"Great location for concert goers as you can walk to/from MGM Grand Arena. The hotel staff were friendly and helpful, but unfortunately the hotel was unprepared for the amount of concert going guests. Elevators waits were 30+ minutes and severely overpacked. Food vendors were…",Adventure05337470524,October 2018,3.0
Will not stay at MGM again,"Check in experience was poor - 25 minute wait for room. Room was a very, very, very long walk from elevators. Many elevators were broke which led to line lines at elevators. Room was the worst room I have experienced - some of the ceiling actually fell onto the floor overnight.…",Al M,November 2018,1.0
"If you want a nice room, you'd be better off at a Econolodge","Horribly appointed rooms, the bathroom counter is smaller then the size of an ironing board, so move on if traveling with a female. The toilet whistled like a tea-pot with every flush, so we couldn't flush it at night without waking each other up (nothing like waking up to a…",Camper12447584249,October 2018,1.0
MGM Grand lives up to its name,I only stayed one night while attending the AAPEX and SEMA show but was treated like royalty. All of the hotel staff that I ran into treated me so well. It was as if they actually enjoy making people feel appreciated. The property also looks very fresh and new especially after…,Jim U,October 2018,5.0
visit to vegas,"stayed 3 days at MGM and it was great, also stayed 3 days at Encore (2nd time) The Encore has to be one of the best places to stay if in Vegas, super clean, rooms great, food great and people go out of their way to treat you like a KING..",Richard G,October 2018,3.0
O meu preferido em Las Vegas,"Gosto muito deste Hotel, ele é o maior de Las Vegas, com vários Restaurantes de Chefs conhecidos, ele oferece vários tipos de acomodação, prestem muita atenção, pois na maioria das vezes oferecem preços super econômicos, neste Hotel, mas são acomodações muito ruins, recomendo o…",2415William,November 2018,5.0
Nice Casino & Hotel But Mini Bar And Mini Fridge In The Rooms Needs To Be Done Away With,"Booked a two night stay here on the last weekend of last month for the first time due to it having the better rates that I can get for a decent hotel on the strip on those dates, well checking in took some time due to lines being long. Well got checked in and got to my room and…",Brandonn,October 2018,3.0
"Disgusting, overpriced room","Shower was wet with mildew when we arrived. Tile was missing grout and dirty. Exhaust fans and a/c vent were covered in dust, as was just about every surface in the room. Almost all the TV channels worked for no more than a few seconds before displaying a message ""channel…",Passport64777785697,October 2018,1.0
Getting old,Rooms are in need of updating badly considering the rates. Seems all the updates have been spent in the casino. Our room in the Grand Tower was no better than a run-of-the-mill Hampton Inn at best and was told IT was an upgrade. Dining options were disappointing as well and also…,Chris M,November 2018,2.0
Pretty Casino. Outdated and dirty rooms West Wing,"Casino was pretty. But our room was old, wallpaper was dirty and stained, one of our towels had a 10 inch rip in it. Towels were thin, and not quality.No in room coffee maker, Everything is expensive $4.95 for 17 oz bottle of water. ( .79c brand at home, was not even a high end…",Discover35958090737,November 2018,2.0
Awesome as always.,Only down fall is the convention center is so far away from the rooms. Couldn't wear my business heels for the whole conference due to the walking back and forth. But it is a great hotel/casino. Our favorite by far.,NorthStar54992747328,October 2018,5.0
Do you really want me to fill this out? Please see review that I posted already on your survey.,I already filled out your survey explaining that I was not happy with my room and they were not willing to move me. No way to sleep above the loading docks and dumpsters in a high end room. I was told they would not move me either.,jimB738BY,October 2018,2.0
Fantastic location!,Great location and options for entertainment and dinning. I had visited years ago and enjoyed coming back. The club was outstanding and so were the lounges and restaurants. No shortage of things to do here. Next time I'll try the golf driving range for sure.,Michael A,November 2018,4.0
Great hotel,"A great stay at the MGM, we queued for about 20 minutes to check in, but this is standard , we stayed in the west wing , I couldn’t fault the room , it was cleaned daily. The concierge are very helpful, if you need anything I would highly recommend using them, we couldn’t get…",Thomas C,October 2018,5.0
Great conference and accommodations at the MGM Grand!,"1800 people from the Vacation Rental Management Association gathered at the MGM Grand recently. The hotel accommodations were terrific; clean, modern, and well-maintained. The conference facilities, while currently being renovated, were top notch, as was the staff at every turn.…",Dana S,November 2018,5.0
Fantastic.,I stayed here for 5 days toward the end of Oct with my boyfriend and 4 friends. We had such an incredible time. The hotel was fabulous. It is based almost at the start of the famous strip which I thought was good as it means you get to see almost all the hotels as you walk down.…,Zoe E,October 2018,5.0
Bigger is not Better!,We had what we thought was a fair deal when booking this through BA but upon check-in we were left feeling disappointed and deflated. The 'resort' fees amounted to $37 per day plus tax!!! This added a whole new cost to our holiday that wasn't budgeted for. Maybe the small print…,Mark F,October 2018,3.0
4 Years in a row,"Love this place, great for everything, food, rooms nice, casino great, shows and more. The Avenue for breakfast is awesome, friendly people, the best food. The shows are awesome and the casino is one of the best.",Brian S,November 2018,5.0
Nice hotel on strip,My husband and I spent 5 nights at the MGM Grand in Las Vegas. The check in was quick and we checked into our king grand room. The room was clean and the bed was so comfortable. Absolutely no complaints about the room. The hotel itself is huge and I never figured out where…,ElainaTin,October 2018,4.0
Not worth the money! Stay elsewhere!,Check in took 45 mins! Our Grand Tower Room was nice however had no water pressure & drains were always clogged. The Tap restaurant was horrible! The Cafe Ave restaurant was great! This property is not worth the money!,Vandi S,November 2018,3.0
Dirty old room,My room was dirty at check in I had to get move to another room. I go to the new room get ready to take a shower and see hair all on the floor in the shower. I called housekeeping and they stated that the housekeeper must have just forgot to clean the shower. I’m not sure how…,Ki Nelson,October 2018,1.0
"Has its faults, but loved it!!!!","Check in - nightmare!!!! 50 friggin minutes of waiting in a queue. The mobile app didn’t recognise my booking so no other option, but if you can check in on your phone through the app then I’d highly recommend it! Room - We upgraded to a king room but were disappointed by it…",Tracy,November 2018,4.0
"Poor value, water out",Water went out during stay and nothing done to remedy the situation. Just 4 mini-bottles of water. Generally poor quality considering the cost. Staff somewhat friendly. Very buggy digital check in and digital key.,Paradise27217539421,October 2018,1.0
Convenient BUT read the review,"Conveniet to entertainment, gambling, food & beverages, but the accommodation itself did not have the value expected for the astute traveler. Marks off for the following: ($650 per night inclusive of tax and resort fees) no coffee maker in room, no robes in room, no plugs to…",Jennifer V,November 2018,3.0
Prison Cell Room,This is a great property with great people and service. My problem came when I opened the door to my hotel room. I have stayed at the MGM numerous times with great accommodations; that of course ended with this stay when I was assigned to a prison cell. I kid you not I never…,azshelby2009,October 2018,4.0
honest review,"last year we stayed at the Luxor so this year the travel agent said this was an upgrade too MGM, well we prefer the Luxor the rooms at the MGM were alot smaller for the same money. the main issue was as you walk in the door you were in the shower/toilet area so when the maid…",Debby294,October 2018,3.0
MGM Grand,Love staying at the MGM Grand. Great location and wonderful restaurants and amenities. Staff is very good. I don't like what they and other big casino/resorts are doing though--charging for parking and a resort fee.,Gary G,October 2018,5.0
"Nicht schlecht, aber auch nicht überzeugend","Start mit hohen Parkgebühr, kompliziertem Check-in, falsche Reservierung war hinterlegt, allerdings hilfsbereits Personal. Sauberes aber wenig komfortabeles Zimmer (3. OG),WC im Wohnbereich nur mit einer Milchglastür abgetrennt, kein Kühlschrank und wundervoller Ausblick auf…",Janine S,October 2018,3.0
It’s Big and so now are the Prices!,"This was our third visit to the MGM Grand (2002/2010 & 2018) and not too much has changed (expect the prices & the Lions have gone, the latter not a bad thing of course); arrived Friday afternoon and the ‘Check-In’ line was long (25/30 minutes); but, the service was good – we…",The_Kats,October 2018,4.0
Exceptional amenities and customer service!,"While the size of the property can be a bit daunting, it literally has everything you could ever want in one place. The service here is always exceptional, the property emaculant, and the comfort of the beds and pillows out of this world!Security is ever-present from the parking…",Paradise171238,October 2018,5.0
Best (4 day) Weekend In Vegas,"The services, concert venues, staff and restaurants were fantastic. Highly recommend adding a day to your trip and reserve a cabana...Concierge department was top notch and handled many details for us prior to our arrival",Sharon E,October 2018,4.0
We love the MGM and the Signature at the MGM,"Wife and I love staying at the MGM and the Signature at the MGM. The pools are awesome, especially the lazy river pool. The staff are super nice and the rooms are excellent. We really feel there is little need to look elsewhere when staying in Vegas.",LightPacker765823,October 2018,5.0
"Great location, great hotel","There are so many great hotels in Vegas, and in reality this is just another one. But it's probably one of the best ones at it's price range. In saying that, the MGM pool complex is easily the best in Vegas, so if you're intending on a bit of pool time, this is the place.",pyronical,October 2018,5.0
Would definently return to Vegas; Not so much this hotel,"The MGM is a beautiful hotel. However, it's dated by the fact that at the time I visited it allowed chain smoking so the second you came off the elevator on the main floor you had your breath snatched away. The smoke smell was horrific and not because I'm sensitive to it, I come…",LARONNDA T,December 2017,3.0
Brilliant Stay,"Stayed here with my girlfriend and family and had an incredible time. We stayed in a queen room, the room was of a high standard, the bed was comfy, views were great and the bathroom was finished to a high spec. Overall was delighted with the bedroom. The casino was huge and had…",ZakShaw,October 2018,5.0
Great place to stay in Vegas,"My favorite place to stay in Vegas. Clean rooms, great water pressure in the shower, fun casino and central location. Hop on the monorail or walk just about anywhere on the strip. Great sports bar too!",Bob J,November 2018,5.0
MGM Bell-Hops Suck,"I would expect better from MGM Grand, but I guess it's business as usual for the hotel. Herd em in, and herd em out. The bell-desk was rude and the system they use for getting your bags to your room and back down is terrible. Simply for this coupled with the inflated cost…",Explore20813838736,October 2018,3.0
Seamless,EVERYTHING went perfect. Only problem was with the airline bus shuttle (not MGM problem). The most spectactular service was the breakfast buffet. WOW! The MGM was the only place in LV that people didn't try to make you buy something.,lesterp357,October 2018,5.0
We water shut down for 2 days for hours so we couldn’t shower or use the toilet,The water was shut down for hours for 2 days and we couldn’t shower or use the toilet and on the 3rd day maintenance man woke us up wanting to check the room. So inconvenience after inconvenience. The front fest offered to comp the resort fees. When I left and checked my bill…,Connector68692503132,October 2018,2.0
Won't go back again,"Terrible smoking smell, second hand smoking is even worst and I feel bad for the people who work there and also fit the visitors who cannot handle the smoking smell. Working in health care, I see drastic outcomes of second hand smoke and it was heart breaking to see how revenue…",Harwinder S,October 2018,1.0
My stay at MGM,From my arrival to my departure I experienced nothing but great service and great accommodations. Our room was very clean and kept clean by housekeeping. The location on the south side of the strip is perfect. My only concern was the quality of food in the food court. Large…,Raul G.,October 2018,5.0
Upsold a room that was not the upgrade promised,I was upsold a room with no curtains! The MGM green lighting was obnoxious all night and I woke up super early because of the sun light in the room. Also an amenity was sent to my room in error and I fee like it was more of a hassle trying to resolve it than it was worth. I was…,lisaz62,October 2018,2.0
Not a Grand Experience,"We have been to Vegas multiple times, and for the sake of the concert that was at the MGM Garden Arena, we stayed at the hotel. Ooh boy. We got our room number via phone while we were on the plane, so we were all set once we landed. We went from the airport to the hotel (15…",raininroses,October 2018,3.0
A great location,We had a great time at the MGM. The main downside was the music at the pool which is what we did during the day. They appealed to a younger crowd yet there wasn’t one when we we there. There is only one music play for the whole pool area as apples to others that have multiple…,Gwendolyn P,October 2018,3.0
Dont stay at MGM,This property is very very dated. Do not stay here. Way overpriced. Total rewards has much better deals with better rooms. Will never stay at MLife properties again. They tried to put me in a handicap room after checking in because they gave my room away. Booked here in june and…,Wander51175651244,October 2018,1.0
Las Vegas experience,"Trip from airport to hotel was quite easy. Accommodations, check in/out, shops, restaurants, sites in surrounding area were all fantastic. Definitely will plan future trips back to Vegas. The ease of use with TripAdvisor made this a smooth evolution and will use it again.",Sheryl S,October 2018,5.0
Amazing holiday!,"This was my first time visiting Vegas, and whilst I was rather apprehensive about staying for 10 nights, we weren’t disappointed and I cannot wait to return! Arrived at lunch time after a long flight from the UK, and we were seen by a receptionist within 5 minutes of queuing.…",jomo1993,September 2018,5.0
Casino Great. ROOMS ARE NOT. Just visit. DON't STAY,Great Location. Good amenities. Rooms are BAD and Dirty. Beds are worn and sink in middle. this was in Grand tower and Signature suites. we had 7 different parties with us. People having sex in the lazy river was gross and inappropriate for all the kids around! With…,Freedom33611777578,October 2018,2.0
Sadly disappointed!,My wife and I have been to Las Vegas every year since 1996 some years fortunate enough to go twice a year and have visited many hotels along the strip. From the Aria to the Vdara. This year we decided for the purpose of a concert we were attending to stay at the MGM Grand. We…,Happynation,October 2018,3.0
Good weekend in Vegas,"Stayed at the mgm for a long weekend, hotel itself was generally very good with nice size rooms equipped as expected. Only downside was the shower was pretty pathetic at times but not the end of the world ( may we’ll be a US thing but the water pressure seamed pretty poor) …",andye30m3,October 2018,4.0
Too expensive,Very pricey for the quality of room we stayed in. All of the restaurants very expensive. Too far of a walk to the convention center where our conference was. Took at least 20 minutes one way walking. Won't stay here again.,GoPlaces516641,October 2018,2.0
Never stay here again,"I was on group trip part of a wedding party, most of our rooms were at your establishment, we had multiple complications.....from cleanliness of rooms, to hot water not working, to drawers being broken, to removable shower head not working. But we were there for the happy…",Navigate53271981661,October 2018,1.0
"Worst on the strip, rude staff, make you feel unwelcome","I had an upgrade confirmation email and the front desk, who was very rude and argumentative, told me it was canceled. She then stuck me in a one bedroom suite that overlooked the dumpster. My blind won’t close completely so there is no way to block the annoying green light or…",Bubble_Toes75,October 2018,1.0
Great Stay,"This is the second time my husband and i stayed at the MGM Grand. Just love the hotel. Fast check-in and out,great food, very friendly staff and nice big rooms. The only downfall is the housekeeping staff. Very lazy at keeping the rooms clean which we had a problem with on this…",cgr377,October 2018,5.0
Resort Fee Scam!!!,"If you're looking to pay $42 per night resort fee and $15 per night for parking, this is the place to stay! Booked online for $71 per night. Thought that was a reasonable price. The $57 per night add on bumped the stay up to almost double. SCAM!",Climber61863465258,October 2018,1.0
Comfy Bed - But Massive! 1.5 hours walk from airport.,"I'll firstly start by saying, my partner and I were not one for Vegas. We were staying here for 2 nights as part of R66, and it was where we would drop off the hire car we had, and pick up a convertible for the rest of the trip. Would I go to Vegas again? No, never. But then…",Georgina H,October 2018,4.0
OK stay,My husband and I stayed at the MGM for a friend’s birthday celebration. The rooms were clean and decently furnished. We had what we needed. I wouldn’t say that this hotel stands out relative to the other Vegas hotels. It does the job but there’s nothing too interesting or fancy…,megan_e_m,October 2018,3.0
Avoid the West Wing at MGM Grand,We had black mold in the shower and the room interior decor was in disrepair and extremely outdated. A/C blower was next to the headboard of the bed. Which made noise an issue. We used the low blower setting to reduce the noise. The A/C apparently shuts off when the room isn't…,Camper60243073728,October 2018,2.0
"Slow check in, decent room","Came here for business trip and checkin was so slow! For some reason, the lady who did my check in had to call someone to confirm something and she practically was holding the phone for at least 10 minutes. Not sure what she was checking and I just had to wait and wait. The…",C F,October 2018,3.0
MGM Grand,"MGM Grand, indeed! My wife and I just returned from the MGM Grand, and overall it was an outstanding experience. Once you get over the Vegas sticker shock, it is a great place to play, stay, and get around. I would definitely recommend the monorail, and being so close to Top…",Trip31452736691,October 2018,5.0
I thought everything was great!,My favorite thing was the pool! After visiting the planet Hollywood pool I realized how nice and clean and amazing this pool area was! I was in the west wing that everyone talks about being so horrible and I thought it was fine - beds were comfy and clean. The bathroom is…,JoAD11030114,October 2018,4.0
Recent stay,"Nice room, view of strip wasn’t as nice as I thought it might be. Shower water tended to not get very hot, and we did have a lot of noise from room above us. Thank goodness they left next morning. Casino is huge!",NPalmer05,October 2018,3.0
"Dirty, Smelly rooms and poor customer service during our bleisure trip",Room was smelly and dirty. Beds were very uncomfortable and way too firm. Mobile check in was a disaster as well as the front desk check in process. Conference Center was terrible as well. Microphones/audio were way too quiet slide clickers for presentations didn't work.,Doug D,October 2018,2.0
Wedding Trip,"Had a great time. Everything is expensive in Las Vegas, be prepared! The Sleep Well rooms are definitely the rooms to request. They are above and beyond the regular rooms! The staff was always pleasant and helpful!",vinan210,October 2018,5.0
"The property was beautiful, clean and everyone was friendly. My husband and I got the city view suite. It was amazing.",We had a beautiful view of the mountains and a over sized jacuzzi tub. It was worth every dollar. I room service was great. The house keeping was excellent. We left the room and had them set it up for us. With champagne and chocolate covered strawberries.,jennifergoodman32,October 2018,5.0
"Disgusting smoke filled hotel, with no option for avoiding the casino floor","To get anywhere from your room - the pool, the conference center, outside - you need to walk through a disgusting smoke filled lobby that makes your eyes burn. I realize this is common to many casinos, but some at least make the effort to filter the air. I paid a significant…",Eric_83702,October 2018,1.0
